trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#99,ORDI,short,1h,34.782355712408,35.26119977845163,-0.6790847006616663,-0.6790847006616663,12/14/2024 13:00,12/14/2024 15:00,,,
#74,___NEIRO,short,1h,0.001622189060336888,0.0015889391060757388,2.8461727171360733,2.8461727171360733,12/14/2024 12:00,12/14/2024 19:00,12/14/2024 14:00,12/14/2024 18:00,12/14/2024 19:00
#174,WBTC,long,1h,100883.40157115697,101082.92810071693,0.19777934373003242,0.19777934373003242,12/14/2024 22:00,12/15/2024 00:00,,,
#175,XMR,long,1h,207.18667301663703,208.34417594928613,1.4958191164980512,1.4958191164980512,12/14/2024 22:00,12/15/2024 01:00,,12/15/2024 00:00,
#194,AAVE,long,1h,375.5109586553926,372.7155435623519,-0.7444296973516648,-0.7444296973516648,12/15/2024 02:00,12/15/2024 04:00,,,
#195,ENS,long,1h,43.799092194382865,43.27172912077464,-1.0958223202399207,-1.0958223202399207,12/15/2024 02:00,12/15/2024 08:00,,,
#235,WBT,long,1h,25.09733302461024,25.10711911463008,0.26366978410308045,0.26366978410308045,12/15/2024 09:00,12/15/2024 16:00,12/15/2024 12:00,12/15/2024 15:00,
#245,UNI,long,4h,17.00861960679285,17.00861960679285,0.0,0.0,12/15/2024 12:00,12/15/2024 16:00,,,
#275,LDO,long,1h,2.311960183662207,2.2598039398169374,-1.3723313001982302,-1.3723313001982302,12/15/2024 16:00,12/15/2024 18:00,,,
#256,FTM,long,1h,1.3083377329472154,1.352958960135552,3.35935833931189,3.35935833931189,12/15/2024 14:00,12/15/2024 19:00,,12/15/2024 18:00,12/15/2024 19:00
#244,AVAX,long,4h,50.43411771144146,50.36622667400003,-0.13461331440328833,-0.13461331440328833,12/15/2024 12:00,12/15/2024 20:00,,,
#248,GNO,long,4h,288.25502547490686,295.6619486412491,4.585466070749946,4.585466070749946,12/15/2024 12:00,12/15/2024 20:00,,,12/15/2024 20:00
#316,FRAX,short,1h,0.9947372516371946,0.9949116252416005,-0.016365010051802728,-0.016365010051802728,12/15/2024 18:00,12/15/2024 20:00,,,
#300,GNO,long,1h,296.0058377038634,297.0251838361909,1.5902075501065531,1.5902075501065531,12/15/2024 17:00,12/15/2024 22:00,,12/15/2024 20:00,
#327,SUSHI,long,1h,2.2606019991245656,2.1742877494665733,-1.4352322427884052,-1.4352322427884052,12/15/2024 20:00,12/15/2024 22:00,,,
#243,BNB,long,4h,716.7816514740065,717.0849032230175,0.042307409569899396,0.042307409569899396,12/15/2024 12:00,12/16/2024 00:00,,,
#285,BLUR,long,4h,0.3969761920023166,0.39103974886980175,-1.4954154057884166,-1.4954154057884166,12/15/2024 16:00,12/16/2024 00:00,,,
#454,FRAX,short,1h,0.9929081817851626,0.9935799092078084,-0.03289124509867859,-0.03289124509867859,12/16/2024 00:00,12/16/2024 02:00,,,
#404,ETH,long,1h,3991.2438242135736,3968.5217371581607,-0.38509740224296574,-0.38509740224296574,12/16/2024 00:00,12/16/2024 03:00,,,
#405,XRP,long,1h,2.45553364982255,2.4117901034322062,-0.6723635095481951,-0.6723635095481951,12/16/2024 00:00,12/16/2024 03:00,,,
#393,TONCOIN,long,1h,6.3807672215691476,6.32092999838933,-0.5740291955433339,-0.5740291955433339,12/15/2024 23:00,12/16/2024 03:00,,,
#394,_SUI,long,1h,4.775657998668222,4.7487583807895986,1.8018861143652964,1.8018861143652964,12/15/2024 23:00,12/16/2024 03:00,,12/16/2024 01:00,
#396,ONDO,long,1h,2.0401115892765485,2.0103940522127903,3.1447789753607114,3.1447789753607114,12/15/2024 23:00,12/16/2024 03:00,,12/16/2024 01:00,
#445,CBETH,long,1h,4324.729621209494,4305.4054887082575,-0.39030393063260177,-0.39030393063260177,12/16/2024 00:00,12/16/2024 03:00,,,
#420,OP,long,1h,2.584941962865207,2.523715555836828,-0.7620686942270131,-0.7620686942270131,12/16/2024 00:00,12/16/2024 04:00,,,
#538,_POPCAT,short,1h,1.1026241978038527,1.1232933525219124,-1.5754989502417593,-1.5754989502417593,12/16/2024 04:00,12/16/2024 06:00,,,
#538,_POPCAT,short,1h,1.1026241978038527,1.1232933525219124,-3.450041043479642,-3.450041043479642,12/16/2024 04:00,12/16/2024 06:00,,,
