trip,total_distance_km,cng_distance_km,total_cng,CNG_consumption_per_km,mean_acceleration,mean_dec,throttle_mean,Accelerator_pedal_position_mean,Coolant_temperature_mean,Engine_speed_mean,Vehicle_Speed_mean
1,0.0025,0,72.815,0,,,5.718778146,2.974516556,92.21192053,1056.396523,0
2,42.35055556,42.30472222,1537.868,3.635215927,2.093298292,1.941747573,19.09245394,19.54404215,93.81459797,1944.579625,59.44457455
3,0,0,0,0,,,,,,,
4,10.74722222,10.74722222,447.193,4.16101008,1.840978593,1.887147335,12.50964301,15.24350323,93.38924731,1957.564785,41.60215054
5,0,0,30.507,0,,,3.437283237,0.361693642,93.21965318,802.7976879,0
6,4.392777778,4.390277778,655.761,14.93666308,1.804772234,1.762711864,4.629006227,4.662648312,92.26712553,981.3753687,5.180268764
7,0,0,0,0,,,,,,,
8,0.016111111,0.013888889,10.009,72.0648,1.5,1.25,3.952314815,3.550388889,92.96296296,813.7962963,0.925925926
9,0,0,0,0,,,,,,,
10,58.01777778,58.01583333,2184.22,3.764868786,1.853817505,1.953876349,14.309473,17.6631637,89.40740741,2032.655004,59.04919423
11,8.471388889,8.468888889,396.748,4.684770401,2.34137931,2.642023346,17.87138814,17.76652695,93.44878706,1881.548854,41.08894879
12,0,0,547.781,0,,,5.207157218,0,87.32777513,843.5322773,0
13,0,0,0,0,,,,,,,
14,1.235555556,1.232222222,167.115,13.56208296,2.657534247,2.7,7.01730094,4.154871473,92.56739812,1037.530564,6.952978056
15,26.99638889,26.99388889,1146.765,4.248239313,3.02259887,2.760757315,24.95732983,21.8125565,93.93889619,2189.03975,63.84888305
16,2.447222222,1.807777778,92.073,5.093159189,1.815533981,2.921875,6.188245562,8.57358284,92.40828402,1452.72929,19.25443787
17,26.5075,13.43277778,491.315,3.657583027,1.984615385,2.290909091,19.63261217,24.24352506,91.94868735,2459.948389,57.70644391
18,13.63472222,0,0,0,,,,,,,
